Symbol,Name,Symbol - Name
SCVL,Shoe Carnival Inc. Common Stock,SCVL - Shoe Carnival Inc. Common Stock
SCVX,SCVX Corp. Class A Ordinary Shares,SCVX - SCVX Corp. Class A Ordinary Shares
SCWX,SecureWorks Corp. Class A Common Stock,SCWX - SecureWorks Corp. Class A Common Stock
SCX,L.S. Starrett Company (The) Common Stock,SCX - L.S. Starrett Company (The) Common Stock
SCYX,SCYNEXIS Inc. Common Stock,SCYX - SCYNEXIS Inc. Common Stock
SD,SandRidge Energy Inc. Common Stock,SD - SandRidge Energy Inc. Common Stock
SDAC,Sustainable Development Acquisition I Corp. Class A Common Stock,SDAC - Sustainable Development Acquisition I Corp. Class A Common Stock
SDACU,Sustainable Development Acquisition I Corp. Unit,SDACU - Sustainable Development Acquisition I Corp. Unit
SDACW,Sustainable Development Acquisition I Corp. Warrant,SDACW - Sustainable Development Acquisition I Corp. Warrant
SDC,SmileDirectClub Inc. Class A Common Stock,SDC - SmileDirectClub Inc. Class A Common Stock
SDGR,Schrodinger Inc. Common Stock,SDGR - Schrodinger Inc. Common Stock
SDH,Global Internet of People Inc. Ordinary Shares,SDH - Global Internet of People Inc. Ordinary Shares
SDHY,PGIM Short Duration High Yield Opportunities Fund Common Shares,SDHY - PGIM Short Duration High Yield Opportunities Fund Common Shares
SDIG,Stronghold Digital Mining Inc. Class A Common Stock,SDIG - Stronghold Digital Mining Inc. Class A Common Stock
SDPI,Superior Drilling Products Inc. Common Stock,SDPI - Superior Drilling Products Inc. Common Stock
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,SE - Sea Limited American Depositary Shares each representing one Class A Ordinary Share
SEAC,SeaChange International Inc. Common Stock,SEAC - SeaChange International Inc. Common Stock
SEAH,Sports Entertainment Acquisition Corp. Class A Common Stock,SEAH - Sports Entertainment Acquisition Corp. Class A Common Stock
SEAS,SeaWorld Entertainment Inc. Common Stock,SEAS - SeaWorld Entertainment Inc. Common Stock
SEAT,Vivid Seats Inc. Class A Common Stock,SEAT - Vivid Seats Inc. Class A Common Stock
SEATW,Vivid Seats Inc. Warrant,SEATW - Vivid Seats Inc. Warrant
SEB,Seaboard Corporation Common Stock,SEB - Seaboard Corporation Common Stock
SECO,Secoo Holding Limited ADS,SECO - Secoo Holding Limited ADS
SEDG,SolarEdge Technologies Inc. Common Stock,SEDG - SolarEdge Technologies Inc. Common Stock
SEE,Sealed Air Corporation Common Stock,SEE - Sealed Air Corporation Common Stock
SEED,Origin Agritech Limited Common Stock,SEED - Origin Agritech Limited Common Stock
SEEL,Seelos Therapeutics Inc. Common Stock,SEEL - Seelos Therapeutics Inc. Common Stock
SEER,Seer Inc. Class A Common Stock,SEER - Seer Inc. Class A Common Stock
SEIC,SEI Investments Company Common Stock,SEIC - SEI Investments Company Common Stock
SELB,Selecta Biosciences Inc. Common Stock,SELB - Selecta Biosciences Inc. Common Stock
SELF,Global Self Storage Inc. Common Stock,SELF - Global Self Storage Inc. Common Stock
SEM,Select Medical Holdings Corporation Common Stock,SEM - Select Medical Holdings Corporation Common Stock
SEMR,SEMrush Holdings Inc. Class A Common Stock,SEMR - SEMrush Holdings Inc. Class A Common Stock
SENEA,Seneca Foods Corp. Class A Common Stock,SENEA - Seneca Foods Corp. Class A Common Stock
SENEB,Seneca Foods Corp. Class B Common Stock,SENEB - Seneca Foods Corp. Class B Common Stock
SENS,Senseonics Holdings Inc. Common Stock,SENS - Senseonics Holdings Inc. Common Stock
SERA,Sera Prognostics Inc. Class A Common Stock,SERA - Sera Prognostics Inc. Class A Common Stock
SESN,Sesen Bio Inc. Common Stock,SESN - Sesen Bio Inc. Common Stock
SEV,Sono Group N.V. Common Shares,SEV - Sono Group N.V. Common Shares
SEVN,Seven Hills Realty Trust Common Stock,SEVN - Seven Hills Realty Trust Common Stock
SF,Stifel Financial Corporation Common Stock,SF - Stifel Financial Corporation Common Stock
SF^B,Stifel Financial Corporation Depositary Shares Each Representing 1/1000th  Interest in a Share of 6.25% Non-Cumulative  Preferred Stock Series B,SF^B - Stifel Financial Corporation Depositary Shares Each Representing 1/1000th  Interest in a Share of 6.25% Non-Cumulative  Preferred Stock Series B
SF^C,Stifel Financial Corporation Depositary Shares Each Representing 1/1000th Interest in a Share of 6.125% Non Cumulative Preferred Stock Series C,SF^C - Stifel Financial Corporation Depositary Shares Each Representing 1/1000th Interest in a Share of 6.125% Non Cumulative Preferred Stock Series C
SF^D,Stifel Financial Corporation Depositary Shares Each Representing 1/1000th Interest in a Share of 4.50% Non-Cumulative Preferred Stock Series D,SF^D - Stifel Financial Corporation Depositary Shares Each Representing 1/1000th Interest in a Share of 4.50% Non-Cumulative Preferred Stock Series D
SFB,Stifel Financial Corporation 5.20% Senior Notes due 2047,SFB - Stifel Financial Corporation 5.20% Senior Notes due 2047
SFBC,Sound Financial Bancorp Inc. Common Stock,SFBC - Sound Financial Bancorp Inc. Common Stock
SFBS,ServisFirst Bancshares Inc. Common Stock,SFBS - ServisFirst Bancshares Inc. Common Stock
SFE,Safeguard Scientifics Inc. New Common Stock,SFE - Safeguard Scientifics Inc. New Common Stock
SFET,Safe-T Group Ltd. American Depositary Share,SFET - Safe-T Group Ltd. American Depositary Share
SFIX,Stitch Fix Inc. Class A Common Stock,SFIX - Stitch Fix Inc. Class A Common Stock
SFL,SFL Corporation Ltd,SFL - SFL Corporation Ltd
SFM,Sprouts Farmers Market Inc. Common Stock,SFM - Sprouts Farmers Market Inc. Common Stock
SFNC,Simmons First National Corporation Class A Common Stock,SFNC - Simmons First National Corporation Class A Common Stock
SFST,Southern First Bancshares Inc. Common Stock,SFST - Southern First Bancshares Inc. Common Stock
SFT,Shift Technologies Inc. Class A Common Stock,SFT - Shift Technologies Inc. Class A Common Stock
SFUN,Fang Holdings Limited American Depositary Shares (Each representing Four Class A Ordinary Shares HK$1.00 par value),SFUN - Fang Holdings Limited American Depositary Shares (Each representing Four Class A Ordinary Shares HK$1.00 par value)
SG,Sweetgreen Inc. Class A Common Stock,SG - Sweetgreen Inc. Class A Common Stock
SGA,Saga Communications Inc. Class A Common Stock (FL),SGA - Saga Communications Inc. Class A Common Stock (FL)
SGBX,SG Blocks Inc. Common Stock,SGBX - SG Blocks Inc. Common Stock
SGC,Superior Group of Companies Inc. Common Stock,SGC - Superior Group of Companies Inc. Common Stock
SGEN,Seagen Inc. Common Stock,SGEN - Seagen Inc. Common Stock
SGFY,Signify Health Inc. Class A Common Stock,SGFY - Signify Health Inc. Class A Common Stock
SGH,SMART Global Holdings Inc. Ordinary Shares,SGH - SMART Global Holdings Inc. Ordinary Shares
SGHT,Sight Sciences Inc. Common Stock,SGHT - Sight Sciences Inc. Common Stock
SGIIU,Seaport Global Acquisition II Corp. Unit,SGIIU - Seaport Global Acquisition II Corp. Unit
SGLB,Sigma Labs Inc. Common Stock,SGLB - Sigma Labs Inc. Common Stock
SGLBW,Sigma Labs Inc. Warrant,SGLBW - Sigma Labs Inc. Warrant
SGMA,SigmaTron International Inc. Common Stock,SGMA - SigmaTron International Inc. Common Stock
SGML,Sigma Lithium Corporation Common Shares,SGML - Sigma Lithium Corporation Common Shares
SGMO,Sangamo Therapeutics Inc. Common Stock,SGMO - Sangamo Therapeutics Inc. Common Stock
SGMS,Scientific Games Corp Common Stock,SGMS - Scientific Games Corp Common Stock
SGRP,SPAR Group Inc. Common Stock,SGRP - SPAR Group Inc. Common Stock
SGRY,Surgery Partners Inc. Common Stock,SGRY - Surgery Partners Inc. Common Stock
SGTX,Sigilon Therapeutics Inc. Common Stock,SGTX - Sigilon Therapeutics Inc. Common Stock
SGU,Star Group L.P. Common Stock,SGU - Star Group L.P. Common Stock
SHAC,SCP & CO Healthcare Acquisition Company Class A Common Stock,SHAC - SCP & CO Healthcare Acquisition Company Class A Common Stock
SHACU,SCP & CO Healthcare Acquisition Company Unit,SHACU - SCP & CO Healthcare Acquisition Company Unit
SHACW,SCP & CO Healthcare Acquisition Company Warrant,SHACW - SCP & CO Healthcare Acquisition Company Warrant
SHAK,Shake Shack Inc. Class A Common Stock,SHAK - Shake Shack Inc. Class A Common Stock
SHBI,Shore Bancshares Inc Common Stock,SHBI - Shore Bancshares Inc Common Stock
SHC,Sotera Health Company Common Stock,SHC - Sotera Health Company Common Stock
SHCAU,Spindletop Health Acquisition Corp. Unit,SHCAU - Spindletop Health Acquisition Corp. Unit
SHCR,Sharecare Inc. Class A Common Stock,SHCR - Sharecare Inc. Class A Common Stock
SHCRW,Sharecare Inc. Warrant,SHCRW - Sharecare Inc. Warrant
SHEN,Shenandoah Telecommunications Co Common Stock,SHEN - Shenandoah Telecommunications Co Common Stock
SHG,Shinhan Financial Group Co Ltd American Depositary Shares,SHG - Shinhan Financial Group Co Ltd American Depositary Shares
SHI,SINOPEC Shangai Petrochemical Company Ltd. Common Stock,SHI - SINOPEC Shangai Petrochemical Company Ltd. Common Stock
SHIP,Seanergy Maritime Holdings Corp Common Stock,SHIP - Seanergy Maritime Holdings Corp Common Stock
SHIPW,Seanergy Maritime Holdings Corp Class A Warrants,SHIPW - Seanergy Maritime Holdings Corp Class A Warrants
SHIPZ,Seanergy Maritime Holdings Corp Class B Warrant,SHIPZ - Seanergy Maritime Holdings Corp Class B Warrant
SHLS,Shoals Technologies Group Inc. Class A Common Stock,SHLS - Shoals Technologies Group Inc. Class A Common Stock
SHLX,Shell Midstream Partners L.P. Common Units representing Limited Partner Interests,SHLX - Shell Midstream Partners L.P. Common Units representing Limited Partner Interests
SHO,Sunstone Hotel Investors Inc. Sunstone Hotel Investors Inc. Common Shares,SHO - Sunstone Hotel Investors Inc. Sunstone Hotel Investors Inc. Common Shares
SHO^H,Sunstone Hotel Investors Inc. 6.125% Series H Cumulative Redeemable Preferred Stock,SHO^H - Sunstone Hotel Investors Inc. 6.125% Series H Cumulative Redeemable Preferred Stock
SHO^I,Sunstone Hotel Investors Inc. 5.70% Series I Cumulative Redeemable Preferred Stock,SHO^I - Sunstone Hotel Investors Inc. 5.70% Series I Cumulative Redeemable Preferred Stock
SHOO,Steven Madden Ltd. Common Stock,SHOO - Steven Madden Ltd. Common Stock
SHOP,Shopify Inc. Class A Subordinate Voting Shares,SHOP - Shopify Inc. Class A Subordinate Voting Shares
SHPW,Shapeways Holdings Inc. Common Stock,SHPW - Shapeways Holdings Inc. Common Stock
SHQA,Shelter Acquisition Corporation I Class A Common Stock,SHQA - Shelter Acquisition Corporation I Class A Common Stock
SHQAU,Shelter Acquisition Corporation I Units,SHQAU - Shelter Acquisition Corporation I Units
SHQAW,Shelter Acquisition Corporation I Warrants,SHQAW - Shelter Acquisition Corporation I Warrants
SHW,Sherwin-Williams Company (The) Common Stock,SHW - Sherwin-Williams Company (The) Common Stock
SHYF,The Shyft Group Inc. Common Stock,SHYF - The Shyft Group Inc. Common Stock
SI,Silvergate Capital Corporation Class A Common Stock,SI - Silvergate Capital Corporation Class A Common Stock
SI^A,Silvergate Capital Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5.375% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,SI^A - Silvergate Capital Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5.375% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A
SIBN,SI-BONE Inc. Common Stock,SIBN - SI-BONE Inc. Common Stock
SID,Companhia Siderurgica Nacional S.A. Common Stock,SID - Companhia Siderurgica Nacional S.A. Common Stock
SIEB,Siebert Financial Corp. Common Stock,SIEB - Siebert Financial Corp. Common Stock
SIEN,Sientra Inc. Common Stock,SIEN - Sientra Inc. Common Stock
SIER,Sierra Lake Acquisition Corp. Class A Common Stock,SIER - Sierra Lake Acquisition Corp. Class A Common Stock
SIERU,Sierra Lake Acquisition Corp. Unit,SIERU - Sierra Lake Acquisition Corp. Unit
SIERW,Sierra Lake Acquisition Corp. Warrant,SIERW - Sierra Lake Acquisition Corp. Warrant
SIF,SIFCO Industries Inc. Common Stock,SIF - SIFCO Industries Inc. Common Stock
SIFY,Sify Technologies Limited American Depositary Shares,SIFY - Sify Technologies Limited American Depositary Shares
SIG,Signet Jewelers Limited Common Shares,SIG - Signet Jewelers Limited Common Shares
SIGA,SIGA Technologies Inc. Common Stock,SIGA - SIGA Technologies Inc. Common Stock
SIGI,Selective Insurance Group Inc. Common Stock,SIGI - Selective Insurance Group Inc. Common Stock
SIGIP,Selective Insurance Group Inc. Depositary Shares each representing a 1/1000th interest in a share of 4.60% Non-Cumulative Preferred Stock Series B,SIGIP - Selective Insurance Group Inc. Depositary Shares each representing a 1/1000th interest in a share of 4.60% Non-Cumulative Preferred Stock Series B
SII,Sprott Inc. Common Shares,SII - Sprott Inc. Common Shares
SILC,Silicom Ltd Ordinary Shares,SILC - Silicom Ltd Ordinary Shares
SILK,Silk Road Medical Inc. Common Stock,SILK - Silk Road Medical Inc. Common Stock
SILV,SilverCrest Metals Inc. Common Shares,SILV - SilverCrest Metals Inc. Common Shares
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,SIM - Grupo Simec S.A.B. de C.V. American Depositary Shares
SIMO,Silicon Motion Technology Corporation American Depositary Shares,SIMO - Silicon Motion Technology Corporation American Depositary Shares
SINO,Sino-Global Shipping America Ltd. Common Stock,SINO - Sino-Global Shipping America Ltd. Common Stock
SINT,SiNtx Technologies Inc. Common Stock,SINT - SiNtx Technologies Inc. Common Stock
SIOX,Sio Gene Therapies Inc. Common Stock,SIOX - Sio Gene Therapies Inc. Common Stock
SIRI,Sirius XM Holdings Inc. Common Stock,SIRI - Sirius XM Holdings Inc. Common Stock
SISI,Shineco Inc. Common Stock,SISI - Shineco Inc. Common Stock
SITC,SITE Centers Corp. Common Stock,SITC - SITE Centers Corp. Common Stock
SITC^A,SITE Centers Corp. 6.375% Class A Preferred Shares,SITC^A - SITE Centers Corp. 6.375% Class A Preferred Shares
SITE,SiteOne Landscape Supply Inc. Common Stock,SITE - SiteOne Landscape Supply Inc. Common Stock
SITM,SiTime Corporation Common Stock,SITM - SiTime Corporation Common Stock
SIVB,SVB Financial Group Common Stock,SIVB - SVB Financial Group Common Stock
SIVBP,SVB Financial Group Depositary Shs each representing a 1/40th interest in a share of 5.25% Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A,SIVBP - SVB Financial Group Depositary Shs each representing a 1/40th interest in a share of 5.25% Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A
SIX,Six Flags Entertainment Corporation New Common Stock,SIX - Six Flags Entertainment Corporation New Common Stock
SJ,Scienjoy Holding Corporation Class A Ordinary Shares ,SJ - Scienjoy Holding Corporation Class A Ordinary Shares 
SJI,South Jersey Industries Inc. Common Stock,SJI - South Jersey Industries Inc. Common Stock
SJIJ,South Jersey Industries Inc. 5.625% Junior Subordinated Notes due 2079,SJIJ - South Jersey Industries Inc. 5.625% Junior Subordinated Notes due 2079
SJIV,South Jersey Industries Inc. Corporate Units,SJIV - South Jersey Industries Inc. Corporate Units
SJM,J.M. Smucker Company (The) New Common Stock,SJM - J.M. Smucker Company (The) New Common Stock
SJR,Shaw Communications Inc. Common Stock,SJR - Shaw Communications Inc. Common Stock
SJT,San Juan Basin Royalty Trust Common Stock,SJT - San Juan Basin Royalty Trust Common Stock
SJW,SJW Group Common Stock (DE),SJW - SJW Group Common Stock (DE)
SKE,Skeena Resources Limited Common Shares,SKE - Skeena Resources Limited Common Shares
SKIL,Skillsoft Corp. Class A Common Stock,SKIL - Skillsoft Corp. Class A Common Stock
SKIN,The Beauty Health Company Class A Common Stock,SKIN - The Beauty Health Company Class A Common Stock
SKLZ,Skillz Inc. Class A Common Stock,SKLZ - Skillz Inc. Class A Common Stock
SKM,SK Telecom Co. Ltd. Common Stock,SKM - SK Telecom Co. Ltd. Common Stock
SKT,Tanger Factory Outlet Centers Inc. Common Stock,SKT - Tanger Factory Outlet Centers Inc. Common Stock
SKX,Skechers U.S.A. Inc. Common Stock,SKX - Skechers U.S.A. Inc. Common Stock
SKY,Skyline Champion Corporation Common Stock,SKY - Skyline Champion Corporation Common Stock
SKYA,Skydeck Acquisition Corp. Class A Ordinary Shares,SKYA - Skydeck Acquisition Corp. Class A Ordinary Shares
SKYAU,Skydeck Acquisition Corp. Units,SKYAU - Skydeck Acquisition Corp. Units
SKYAW,Skydeck Acquisition Corp. Warrants,SKYAW - Skydeck Acquisition Corp. Warrants
SKYT,SkyWater Technology Inc. Common Stock,SKYT - SkyWater Technology Inc. Common Stock
SKYW,SkyWest Inc. Common Stock,SKYW - SkyWest Inc. Common Stock
SLAB,Silicon Laboratories Inc. Common Stock,SLAB - Silicon Laboratories Inc. Common Stock
SLAC,Social Leverage Acquisition Corp I Class A Common Stock,SLAC - Social Leverage Acquisition Corp I Class A Common Stock
SLAM,Slam Corp. Class A Ordinary Share,SLAM - Slam Corp. Class A Ordinary Share
SLAMU,Slam Corp. Unit,SLAMU - Slam Corp. Unit
SLAMW,Slam Corp. warrant,SLAMW - Slam Corp. warrant
SLB,Schlumberger N.V. Common Stock,SLB - Schlumberger N.V. Common Stock
SLCA,U.S. Silica Holdings Inc. Common Stock,SLCA - U.S. Silica Holdings Inc. Common Stock
SLCR,Silver Crest Acquisition Corporation Class A Ordinary Share,SLCR - Silver Crest Acquisition Corporation Class A Ordinary Share
SLCRU,Silver Crest Acquisition Corporation Unit,SLCRU - Silver Crest Acquisition Corporation Unit
SLCRW,Silver Crest Acquisition Corporation Warrant,SLCRW - Silver Crest Acquisition Corporation Warrant
SLDB,Solid Biosciences Inc. Common Stock,SLDB - Solid Biosciences Inc. Common Stock
SLF,Sun Life Financial Inc. Common Stock,SLF - Sun Life Financial Inc. Common Stock
SLG,SL Green Realty Corp Common Stock,SLG - SL Green Realty Corp Common Stock
SLG^I,SL Green Realty Corporation Preferred Series I,SLG^I - SL Green Realty Corporation Preferred Series I
SLGC,SomaLogic Inc. Class A Common Stock,SLGC - SomaLogic Inc. Class A Common Stock
SLGCW,SomaLogic Inc. Warrant,SLGCW - SomaLogic Inc. Warrant
SLGG,Super League Gaming Inc. Common Stock,SLGG - Super League Gaming Inc. Common Stock
SLGL,Sol-Gel Technologies Ltd. Ordinary Shares,SLGL - Sol-Gel Technologies Ltd. Ordinary Shares
SLGN,Silgan Holdings Inc. Common Stock,SLGN - Silgan Holdings Inc. Common Stock
SLHG,Skylight Health Group Inc. Ordinary Shares,SLHG - Skylight Health Group Inc. Ordinary Shares
SLI,Standard Lithium Ltd. Common Shares,SLI - Standard Lithium Ltd. Common Shares
SLM,SLM Corporation Common Stock,SLM - SLM Corporation Common Stock
SLMBP,SLM Corporation Floating Rate Non-Cumulative Preferred Stock Series B,SLMBP - SLM Corporation Floating Rate Non-Cumulative Preferred Stock Series B
SLN,Silence Therapeutics Plc American Depository Share,SLN - Silence Therapeutics Plc American Depository Share
SLNG,Stabilis Solutions Inc. Common Stock,SLNG - Stabilis Solutions Inc. Common Stock
SLNH,Soluna Holdings Inc. Common Stock,SLNH - Soluna Holdings Inc. Common Stock
SLNHP,Soluna Holdings Inc 9.0% Series A Cumulative Perpetual Preferred Stock ,SLNHP - Soluna Holdings Inc 9.0% Series A Cumulative Perpetual Preferred Stock 
SLNO,Soleno Therapeutics Inc. Common Stock,SLNO - Soleno Therapeutics Inc. Common Stock
SLP,Simulations Plus Inc. Common Stock,SLP - Simulations Plus Inc. Common Stock
SLQT,SelectQuote Inc. Common Stock,SLQT - SelectQuote Inc. Common Stock
SLRC,SLR Investment Corp. Common Stock,SLRC - SLR Investment Corp. Common Stock
SLRX,Salarius Pharmaceuticals Inc. Common Stock,SLRX - Salarius Pharmaceuticals Inc. Common Stock
SLS,SELLAS Life Sciences Group Inc. Common Stock,SLS - SELLAS Life Sciences Group Inc. Common Stock
SLVM,Sylvamo Corporation Common Stock,SLVM - Sylvamo Corporation Common Stock
SLVR,SilverSPAC Inc. Class A Ordinary Share,SLVR - SilverSPAC Inc. Class A Ordinary Share
SLVRW,SilverSPAC Inc. Warrant,SLVRW - SilverSPAC Inc. Warrant
SM,SM Energy Company Common Stock,SM - SM Energy Company Common Stock
SMAP,SportsMap Tech Acquisition Corp. Common Stock,SMAP - SportsMap Tech Acquisition Corp. Common Stock
SMAPU,SportsMap Tech Acquisition Corp. Units,SMAPU - SportsMap Tech Acquisition Corp. Units
SMAPW,SportsMap Tech Acquisition Corp. Warrants,SMAPW - SportsMap Tech Acquisition Corp. Warrants
SMAR,Smartsheet Inc. Class A Common Stock,SMAR - Smartsheet Inc. Class A Common Stock
SMBC,Southern Missouri Bancorp Inc. Common Stock,SMBC - Southern Missouri Bancorp Inc. Common Stock
SMBK,SmartFinancial Inc. Common Stock,SMBK - SmartFinancial Inc. Common Stock
SMCI,Super Micro Computer Inc. Common Stock,SMCI - Super Micro Computer Inc. Common Stock
SMED,Sharps Compliance Corp. Common Stock,SMED - Sharps Compliance Corp. Common Stock
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),SMFG - Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan)
SMFR,Sema4 Holdings Corp. Class A Common Stock,SMFR - Sema4 Holdings Corp. Class A Common Stock
SMFRW,Sema4 Holdings Corp. Warrant,SMFRW - Sema4 Holdings Corp. Warrant
SMG,Scotts Miracle-Gro Company (The) Common Stock,SMG - Scotts Miracle-Gro Company (The) Common Stock
SMHI,SEACOR Marine Holdings Inc. Common Stock ,SMHI - SEACOR Marine Holdings Inc. Common Stock 
SMID,Smith-Midland Corporation Common Stock,SMID - Smith-Midland Corporation Common Stock
SMIH,Summit Healthcare Acquisition Corp. Class A Ordinary Share,SMIH - Summit Healthcare Acquisition Corp. Class A Ordinary Share
SMIHW,Summit Healthcare Acquisition Corp. Warrant,SMIHW - Summit Healthcare Acquisition Corp. Warrant
SMIT,Schmitt Industries Inc. Common Stock,SMIT - Schmitt Industries Inc. Common Stock
SMLP,Summit Midstream Partners LP Common Units Representing Limited Partner Interests,SMLP - Summit Midstream Partners LP Common Units Representing Limited Partner Interests
SMLR,Semler Scientific Inc. Common Stock,SMLR - Semler Scientific Inc. Common Stock
SMM,Salient Midstream Common Shares of Beneficial Interest,SMM - Salient Midstream Common Shares of Beneficial Interest
SMMF,Summit Financial Group Inc. Common Stock,SMMF - Summit Financial Group Inc. Common Stock
SMMT,Summit Therapeutics Inc. Common Stock ,SMMT - Summit Therapeutics Inc. Common Stock 
SMP,Standard Motor Products Inc. Common Stock,SMP - Standard Motor Products Inc. Common Stock
SMPL,The Simply Good Foods Company Common Stock,SMPL - The Simply Good Foods Company Common Stock
SMRT,SmartRent Inc. Class A Common Stock,SMRT - SmartRent Inc. Class A Common Stock
SMSI,Smith Micro Software Inc. Common Stock,SMSI - Smith Micro Software Inc. Common Stock
SMTC,Semtech Corporation Common Stock,SMTC - Semtech Corporation Common Stock
SMTI,Sanara MedTech Inc. Common Stock,SMTI - Sanara MedTech Inc. Common Stock
SMTS,Sierra Metals Inc. Common Stock,SMTS - Sierra Metals Inc. Common Stock
SMWB,Similarweb Ltd. Ordinary Shares,SMWB - Similarweb Ltd. Ordinary Shares
SNA,Snap-On Incorporated Common Stock,SNA - Snap-On Incorporated Common Stock
SNAP,Snap Inc. Class A Common Stock,SNAP - Snap Inc. Class A Common Stock
SNAX,Stryve Foods Inc. Class A Common Stock,SNAX - Stryve Foods Inc. Class A Common Stock
SNAXW,Stryve Foods Inc. Warrant,SNAXW - Stryve Foods Inc. Warrant
SNBR,Sleep Number Corporation Common Stock,SNBR - Sleep Number Corporation Common Stock
SNCE,Science 37 Holdings Inc. Common Stock,SNCE - Science 37 Holdings Inc. Common Stock
SNCR,Synchronoss Technologies Inc. Common Stock,SNCR - Synchronoss Technologies Inc. Common Stock
SNCRL,Synchronoss Technologies Inc. 8.375% Senior Notes due 2026,SNCRL - Synchronoss Technologies Inc. 8.375% Senior Notes due 2026
SNCY,Sun Country Airlines Holdings Inc. Common Stock,SNCY - Sun Country Airlines Holdings Inc. Common Stock
SND,Smart Sand Inc. Common Stock,SND - Smart Sand Inc. Common Stock
SNDA,Sonida Senior Living Inc. Common Stock,SNDA - Sonida Senior Living Inc. Common Stock
SNDL,Sundial Growers Inc. Common Shares,SNDL - Sundial Growers Inc. Common Shares
SNDR,Schneider National Inc. Common Stock,SNDR - Schneider National Inc. Common Stock
SNDX,Syndax Pharmaceuticals Inc. Common Stock,SNDX - Syndax Pharmaceuticals Inc. Common Stock
SNES,SenesTech Inc. Common Stock,SNES - SenesTech Inc. Common Stock
SNEX,StoneX Group Inc. Common Stock,SNEX - StoneX Group Inc. Common Stock
SNFCA,Security National Financial Corporation Class A Common Stock,SNFCA - Security National Financial Corporation Class A Common Stock
SNGX,Soligenix Inc. Common Stock,SNGX - Soligenix Inc. Common Stock
SNGXW,Soligenix Inc. Warrant,SNGXW - Soligenix Inc. Warrant
SNII,Supernova Partners Acquisition Company II Ltd. Class A Ordinary Shares,SNII - Supernova Partners Acquisition Company II Ltd. Class A Ordinary Shares
SNMP,Evolve Transition Infrastructure LP Common Stock,SNMP - Evolve Transition Infrastructure LP Common Stock
SNN,Smith & Nephew SNATS Inc. Common Stock,SNN - Smith & Nephew SNATS Inc. Common Stock
SNOA,Sonoma Pharmaceuticals Inc. Common Stock,SNOA - Sonoma Pharmaceuticals Inc. Common Stock
SNOW,Snowflake Inc. Class A Common Stock,SNOW - Snowflake Inc. Class A Common Stock
SNP,China Petroleum & Chemical Corporation Common Stock,SNP - China Petroleum & Chemical Corporation Common Stock
SNPO,Snap One Holdings Corp. Common Stock,SNPO - Snap One Holdings Corp. Common Stock
SNPS,Synopsys Inc. Common Stock,SNPS - Synopsys Inc. Common Stock
SNPX,Synaptogenix Inc. Common Stock,SNPX - Synaptogenix Inc. Common Stock
SNRH,Senior Connect Acquisition Corp. I Class A Common Stock,SNRH - Senior Connect Acquisition Corp. I Class A Common Stock
SNRHU,Senior Connect Acquisition Corp. I Unit,SNRHU - Senior Connect Acquisition Corp. I Unit
SNRHW,Senior Connect Acquisition Corp. I Warrant,SNRHW - Senior Connect Acquisition Corp. I Warrant
SNSE,Sensei Biotherapeutics Inc. Common Stock,SNSE - Sensei Biotherapeutics Inc. Common Stock
SNT,Senstar Technologies Ltd. Ordinary Shares,SNT - Senstar Technologies Ltd. Ordinary Shares
SNTG,Sentage Holdings Inc. Ordinary Shares,SNTG - Sentage Holdings Inc. Ordinary Shares
SNV,Synovus Financial Corp. Common Stock,SNV - Synovus Financial Corp. Common Stock
SNV^D,Synovus Financial Corp. Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series D Liquation Preference $25.00 per Share,SNV^D - Synovus Financial Corp. Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series D Liquation Preference $25.00 per Share
SNV^E,Synovus Financial Corp. 5.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series E,SNV^E - Synovus Financial Corp. 5.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series E
SNX,TD SYNNEX Corporation Common Stock,SNX - TD SYNNEX Corporation Common Stock
SNY,Sanofi ADS,SNY - Sanofi ADS
SO,Southern Company (The) Common Stock,SO - Southern Company (The) Common Stock
SOFI,SoFi Technologies Inc. Common Stock  ,SOFI - SoFi Technologies Inc. Common Stock  
SOFIW,SoFi Technologies Inc. Warrants,SOFIW - SoFi Technologies Inc. Warrants
SOHO,Sotherly Hotels Inc. Common Stock,SOHO - Sotherly Hotels Inc. Common Stock
SOHOB,Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock,SOHOB - Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock
